EC,description,uniprot,transferred,unspecific_ec
2.1.1.2,Guanidinoacetate N-methyltransferase.,Q7ZXG7 Q5HZ68 Q2TBQ3 Q71N41 Q14353 O35969 P10868 Q6PBF6,FALSE,2.1.1
2.1.1.20,Glycine N-methyltransferase.,Q14749 Q9QXF8 Q29555 Q29513 P13255,FALSE,2.1.1
2.1.1.200,tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase.,A8AD50 A7MGX5 Q8XA83 A1AE69 Q0TEV3 P0AE02 P0AE01 Q1R8K0 A6TCF3 Q6D257 Q7N222 Q57LG7 Q5PNG3 P66975 P66974 Q31XV8 Q32D32 Q0T1Y7 P0AE03 Q3YZ20 Q2NS29 A1JKQ0 Q1C5G8 Q7CJN8 Q1CKB1 A4TMV6 Q667X9,FALSE,2.1.1
2.1.1.201,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase.",Q9LVC8 Q0P5A2 P34666 Q5ZLL5 Q66L51 Q54VN2 Q9VYF8 Q5HYK3 P55905 Q9CXI0 Q5JNC0 Q5RBK6 Q4G064 P87230 Q4V7R3 P49017 A5FZ96 Q8UIH5 B9J7S8 B9JZF4 C1DHS2 A1UUE1 Q6G577 Q6G1I2 A9ILA7 Q6MHQ3 Q7VRJ1 Q491V7 Q2KUG1 Q7WF12 Q7W3N6 Q7W0H1 Q89WD0 A5E888 A4YJH0 B2SC50 Q2YJM4 Q576Q0 A9MCZ2 C0RMK3 Q8YDE4 A9WW74 Q8FUZ3 B1YWF9 Q1BTN4 B1JYJ6 A0KAF5 B4EBC4 Q0BBY4 Q39D13 A9AFC0 A3MNT8 A2S8L1 Q62MP4 A1V753 A3NRJ4 Q3JVZ6 A3N5U8 Q63XA0 Q2T139 A4JHS6 A8FKB3 Q9PIH5 A1VY43 Q5HWE7 B0T7D0 Q9A258 B8GVY5 B3PH48 Q7NZD3 A8ACY2 B6J676 B6J3P6 A9KD75 A9N9F4 Q83A90 A7MQL7 Q1LRG9 Q0KEH6 Q475X0 B2AH07 Q6ANL3 A8LNK7 A7ZU40 B7UNG3 B7MHC0 B7L996 P0A888 B5YY82 B7NV33 B7N2E1 B7M638 C5A009 B1XAJ7 A8A6U0 A1AI22 Q0TAM1 Q8FBJ0 B1IW72 P0A887 B7NFD6 B6I4H5 B1LM21 Q1R477 C5BCA4 A4WFY5 B2VG41 B7LU01 B0TZP1 Q14GU4 A7NAA1 Q2A524 B2SFA2 A0Q549 Q0BNE2 Q5NFE1 A4IXH9 B5EFL1 B9LZA9 Q74EU2 C6E4U6 A5GA37 P59911 Q2SN12 Q31IM5 Q5QYG2 B5XYI1 A6TGL3 C1DCV3 Q5X0X6 A5II90 Q5ZRH9 Q5WSQ8 A6VTA1 Q606J9 B8IJ00 Q5F9R9 B4RK11 A9M3A0 Q9JV83 Q9K075 A1KT06 Q81ZZ8 Q1QS47 Q2Y6R0 A6WYI0 A1BAN1 B2JCU8 B2SX35 Q145P0 Q9CKD6 Q6DAQ7 C6DI77 Q3A209 B4RC42 Q7MZ81 B4EWC9 Q48PJ4 A6VDI6 B7V3F6 Q02EV4 Q9HUC0 Q1I3T0 C3K8U4 Q3IJV7 A4XPM7 Q9Z5E9 A5WA45 Q3KJC5 B0KM36 Q88D17 Q9Z439 B1J2S8 Q87UZ2 Q4ZZG3 A4VGE5 A1SRS4 B2UFG8 Q8Y278 B3PZ92 Q2KDB0 Q1MME0 Q98GV1 B5ZYK8 Q92SK7 Q2J2H9 Q6NDM2 Q13EN8 B3Q619 A3PFL1 Q3IY65 A4WVR7 B9KQJ8 C3PLF4 A8GPI0 A8GXR2 Q1RJY5 A8EZP4 Q92GT5 Q4UMW4 A8F2G9 Q9ZCP3 C4K2K3 B0BUT9 A8GT99 Q68W57 Q16DL1 Q9JPD1 Q1GC56 Q21H69 B5EZU8 A9MIY3 Q57HN8 B5FNW6 B5QW73 B5RFM8 B4TBR3 B4SZ73 Q5PKP4 A9MY97 C0Q3E1 B5BIX9 B4TNX9 P0A2K6 P0A2K5 A8G8B8 A1SAJ8 B8E6B6 A3D9F2 A6WIE9 A9KYL8 Q12S23 Q088H8 B0TJ16 A3QIE1 Q8E9R7 A8H966 A4Y2Q5 B8CI06 A0L1M4 A8G0S7 Q0HEA1 Q0HZP7 A1RP78 B1KR07 B2TVI4 Q31UF3 Q32A11 Q0SZ25 P0A889 Q3YVD2 C3MCY6 A6UFF7 B4SJ34 B2FUU6 C5BRL2 Q3SM81 A5F4E5 A7MTX1 Q9KVQ6 C3LPS5 Q87TH4 Q8DDP9 Q7MQ33 Q8D382 Q73HZ4 C0R2Q3 Q8PPP2 Q8P558 Q2NYW4 B2IA21 Q9PD92 B0U6V1 Q87DI1 A1JIF2 A7FDE0 Q1CBG0 B2K0Y4 Q8D1I3 A9R431 Q1CNB4 A4TR39 Q66FT0 B1JP75 Q9X3X2,FALSE,2.1.1
2.1.1.203,tRNA (cytosine(34)-C(5))-methyltransferase.,Q5ZLV4 Q9W4M9 Q08J23 Q1HFZ0 Q4V7N2 Q28E61,FALSE,2.1.1
2.1.1.204,tRNA (cytosine(38)-C(5))-methyltransferase.,P40999 Q7YS61 O14717 O55055 Q4G073,FALSE,2.1.1
2.1.1.205,tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase.,Q9VEP1 Q9VDD9 Q22031 Q54VA8 Q9UET6 O36015 P38238,FALSE,2.1.1
2.1.1.206,tRNA (cytidine(56)-2'-O)-methyltransferase.,Q9YAD3 O29507 A0RYD1 Q5V3R4 B0R434 Q9HRC8 Q18HD7 A2BLW3 A8ABJ8 A6UWW4 Q8TL02 Q0W8P0 A7I7T4 Q466X1 Q12Z63 Q2FT21 Q58780 Q8TX72 A2SQM4 A4FW99 A9A9N8 A6VH11 Q8Q0Q0 A3CVQ1 Q6LXC7 A5ULQ9 A4YJ14 Q2NF55 O27185 A0B9Q9 A6UQ70 Q3IP06 A9A624 Q6L171 Q9UYD1 Q8U3K5 O58214 A3DN06 Q877H6 Q980M4 Q975T9 Q9HJN6 Q5JEG5 A1RY31 Q979R3,FALSE,2.1.1
2.1.1.207,tRNA (cytidine(34)-2'-O)-methyltransferase.,A1WBM9 A0KEQ6 O31590 B2IBT9 A0KAS4 Q0BBL1 A3NR15 P0AGJ8 P0AGJ7 P32813 P44868 Q042B4 A2RKW7 P69001 Q721N0 C6X9I5 P47588 P75257 C7BSD3 Q12E50 Q21LN7 B8CHC9 D7A3L6 Q48V41 P74516 Q74Y93,FALSE,2.1.1
2.1.1.210,Demethylspheroidene O-methyltransferase.,P0CY89 D5AP78 P54906,FALSE,2.1.1
2.1.1.211,tRNA(Ser) (uridine(44)-2'-O)-methyltransferase.,Q751E7 Q4WCV5 Q2U6Q1 Q60K16 Q45EK7 Q6FKD6 Q6BRY1 Q9VHB9 Q5ASK9 Q4I1M9 Q8IYL2 Q6CR42 Q9D2Q2 Q7SE80 O74516 Q4KLT3 Q6C7U7 Q02648,FALSE,2.1.1
2.1.1.212,"2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase.",Q84KK6 Q84KK4 Q29U70,FALSE,2.1.1
2.1.1.213,tRNA (guanine(10)-N(2))-dimethyltransferase.,O29011 Q58120 O26820 P05409 Q9UY84,FALSE,2.1.1
2.1.1.214,tRNA (guanine(10)-N(2))-methyltransferase.,O94636 Q12463,FALSE,2.1.1
2.1.1.216,tRNA (guanine(26)-N(2))-dimethyltransferase.,Q9YDY7 Q9LFU5 O29443 Q23270 Q9VK89 Q8SR99 B9LSI7 Q5UYV8 B0R713 P57705 Q18EA0 Q9NXH9 A6UUN6 Q8TGX6 A7I9E9 Q466T6 Q12Y46 Q2FN43 Q58356 Q8TYY7 A2SRK9 A4FZY5 A9A871 A6VIL5 Q8PU28 P0CW64 A3CW75 P0CW65 B8GF12 A5UM08 A4YHH9 Q2NI56 O27258 Q3TX08 Q3IUJ2 Q9V1P3 Q8ZWT5 A4WMB7 A3MTQ5 P81554 O59493 A1RV26 B1YCV9 P20300 Q9P804 Q4J947 C3N5E1 C4KH07 C3MPR5 C3MYQ9 C3NHQ8 C3NDZ5 Q97ZH0 Q971V9 P57706 C5A6N2 Q5JIB3 B6YUU9 Q97AR2 P15565 Q9SRU7,FALSE,2.1.1
2.1.1.218,tRNA (adenine(9)-N(1))-methyltransferase.,Q2KI45 Q7L0Y3 Q3UFY8 Q5U2R4 A4IHS0 Q4J894 Q5JD38,FALSE,2.1.1
2.1.1.219,tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase.,Q57598 Q9V1J7,FALSE,2.1.1
2.1.1.22,Carnosine N-methyltransferase.,F1N9S8 Q54ST2 Q9I7X6 Q8N4J0 Q80UY1 Q5BJZ6 Q9Y7J3 P53934 U3NEE3,FALSE,2.1.1
2.1.1.220,tRNA (adenine(58)-N(1))-methyltransferase.,Q9BVS5 Q755M8 Q4WUT7 Q2U3W4 A6H791 Q5A416 Q6FL77 P0CS09 P0CS08 Q6BX32 Q86JJ0 Q96FX7 Q6CN53 Q80XC2 Q6AY46 O14307 Q6C0P9 P46959 P9WFZ0 P9WFZ1 Q8GBB2 Q5SKN4,FALSE,2.1.1
2.1.1.221,tRNA (guanine(9)-N(1))-methyltransferase.,Q3MHI8 Q9VR56 Q8TBZ6 Q8C1Z8 Q4KLI2 Q66JJ4 Q08DP1 Q08BM0 Q6PF06 Q9D075 Q5RJK3 Q2KI45 Q7L0Y3 Q3UFY8 Q5U2R4 A4IHS0 Q75A17 Q4WXA1 Q59Q39 Q6FQB2 P0CS11 P0CS10 Q6BWG3 Q5B8X0 Q4I8X0 Q6CUM6 O14214 Q5JD38 Q6C1W9 Q12400,FALSE,2.1.1
2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase.,A1TSA0 Q6FFY1 B7H2Y9 B7IBN2 B2I023 B0VMN8 B0V5X4 A3MZ07 B3H0C8 A4SM99 Q8UA66 B9JB78 Q0AA73 Q5P7U3 A8HVC4 A1K8Q1 C1DRQ3 A1URT5 Q6G5K3 Q6G0I1 A9IQF4 Q2L2T5 Q7WGT9 Q7W5Z6 Q7VZG7 Q89XU2 A4YKT6 B2S828 Q2YLN5 A9M8K8 C0RFB8 Q8YJ98 A5VSK3 B0CIC6 Q8FYK0 B1YV26 Q1BY35 B1JXR2 A0K5L4 B4EB49 Q0BHA0 Q39IG8 A9ADW3 Q62M18 Q3JPX1 Q63RZ8 Q2SY32 A4JCG7 B0SW81 Q9A9X1 B8H209 Q11E01 Q7NZ91 A8ADY5 Q482G8 B6J5Y2 B6J1W2 A9KGL7 A9NBI0 Q820B5 A7MPA9 Q46Y42 Q47GP8 A8LQ43 A7ZP50 B7UFP4 B7MFZ8 B7LAP9 Q8XE29 B5YX17 B7NN47 B7MXR3 B7M5R7 C4ZU73 B1X8C6 A8A296 Q0TFL0 Q8FFP0 B1IXV6 P17993 B7N5J4 B6I7I7 B1LLI3 Q1R9I4 A4WCN5 B2VIL6 B7LM95 Q7VKW2 B8F4B1 Q0I3Y4 Q2SE61 B0UUV6 Q31GD8 Q5QZ53 Q28VP7 B5XNZ3 A6TBT7 B1Y2L3 Q2W6W0 A1U3K1 Q0AME1 Q609G2 B8IUB0 B0UAV0 B8EI29 A9M0C4 Q9JWE6 Q9JXI7 Q81ZZ2 Q2Y6Z3 Q3J8U2 Q3SVP3 A6WXQ0 A7HTX8 B2JEZ6 B2T641 Q13VB4 Q9CMI6 Q6D7X5 C6DBN5 Q4FNA2 Q7N2M5 Q6LPD7 B4EZ30 Q48FM4 A6V2Q4 B7V9J5 Q02PX7 Q9HZ63 Q1IDA6 Q4K8M4 C3K6J1 Q3ILA5 A5W7G3 Q3K8T6 B0KTX4 Q88M10 B1J5G4 Q885T9 Q4ZQ90 A4VLX7 Q4FVG3 Q1QEI9 Q8Y0Z5 B3PP83 Q2K3S8 Q1MBA9 Q98G87 B5ZRR7 Q92MK1 Q21UL3 Q2J419 Q07VB6 Q6NC69 Q21BZ6 Q13EZ9 B3QCF3 Q2RWE9 A3PNM3 Q3IYM5 A4WW91 B9KPP7 A8GPB1 A8GX11 Q1RJC7 A8EY40 Q92H07 Q4UME7 Q9ZCT9 Q68WB5 Q16D32 Q5LWM6 Q1GCH8 Q21IR9 B5EYW1 A9MJY3 Q57M77 B5FNR7 B5R249 B5RCA1 B4TBE3 B4SYU8 Q5PCY1 C0Q093 B5BCS0 B4TPG0 Q8Z560 P37431 A8GGX8 A1S6C9 B8EA88 A3D499 A6WNN7 A9L2Y4 B0TT38 Q8EEG9 A8H499 A4Y759 A0KWN3 Q0HIX5 Q0HV07 A1RJD1 B2TW20 Q31Z65 Q32DV8 Q0T2P9 Q820C5 Q3YZX6 C3MHQ9 A6UCF6 Q2NSL7 Q3SK91 A5F1U0 A7MU79 Q9KSJ9 C3LLV3 Q5E5J8 B5FDT8 Q87ND5 B7VGS0 Q8D8E0 Q7MM27 Q8PK00 Q3BSF8 Q4UVL4 B0RS27 Q8P8H2 Q2P2C4 B2SHS9 Q5GZB5 B2I705 Q9PAM5 B0U3W1 Q87BG5 A1JLA0 A7FKF4 Q1C9H5 B2K9A4 Q8ZGR6 A9R284 Q1CFZ1 A4TNI8 Q66CZ4 B1JS96,FALSE,2.1.1
2.1.1.223,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase.,A3N3J4 B3H2W9 A6VKA4 A0KPC4 A4SRS5 C6AQR4 B6EMW5 Q5LCS1 Q64TX7 Q8A9H7 A6L532 A8AD10 A7MH06 Q11RK8 C6CNL2 C6CB42 C6VS84 A7ZQ20 B7UH15 B7MIR0 B7LDG8 Q8XA22 B5Z149 C6UQY1 B7NRM8 B7MYK8 B7M8I9 C5W7S9 C6UBI3 C4ZYJ8 B1XBQ2 A8A386 A1AEA5 Q0TER3 Q8FF14 B1IVQ2 P31825 B7N6G4 B6I5E9 B1LP88 Q1R8F7 C5BAI6 A4WDE6 B2VI36 B7LUY9 C6X2D2 A5FKD7 A6GWI6 A0LXM6 Q4QNC1 A5UA66 A5UGT6 P44702 B8F678 Q0I4T7 B0UWL8 B5XNG1 A6TCI9 Q65W50 A6LD46 Q9CJZ9 Q6D211 C6DC08 C6Y2G0 Q7N1W7 Q6LUN9 B2RK25 Q7MVG0 B4F055 Q15NR8 Q3IG80 A9MGW2 Q57L59 B5QTV6 B5RD57 Q5PNB8 A9N0W9 C0PVY6 B5BAS2 Q8Z4J9 Q8ZMX8 A8GI34 A1S987 B8E5T2 A3D0V3 A6WS64 A9L1L1 Q12R91 Q087P4 B0TUD3 A3QAZ2 Q8EI95 A8H0P3 A4Y3T4 B8CU29 A0L0I8 A8FRM9 Q0HM44 Q0HRP2 A1RN54 B1KF36 B2TYI8 Q31XR1 Q32CU6 Q0T1T1 Q83QI2 Q3YYU0 C4LCN4 Q119M4 A7MXM2 Q9KU62 C3LSR6 Q5E7Q6 B5F9T8 Q87SB8 B7VJ58 Q8DEQ3 Q7MNQ4 A1JKJ4 A7FFT0 Q1C564 B2KA56 Q74SR9 A9R3Z3 Q1CKF3 A4TKY7 Q667U2 B1JRB8,FALSE,2.1.1
2.1.1.224,23S rRNA (adenine(2503)-C(8))-methyltransferase.,Q5WJ42 A7Z1T2 A7FX96 A5I5U3 B1IL14 A7GH77 B1KZ37 A9KK15 A5HBL2 Q9FBG4 A2AXI2,FALSE,2.1.1
2.1.1.225,tRNA:m(4)X modification enzyme.,Q75AT3 Q6BP10 Q54BD5 Q9NUP7 Q6CP50 Q8BYH3 Q10B19 A3LXS6 Q9UTH1 A7TSF4 Q6C4F8 Q12383,FALSE,2.1.1
2.1.1.226,23S rRNA (cytidine(1920)-2'-O)-methyltransferase.,P9WJ62 P9WJ63,FALSE,2.1.1
2.1.1.227,16S rRNA (cytidine(1409)-2'-O)-methyltransferase.,P9WJ62 P9WJ63,FALSE,2.1.1
2.1.1.228,tRNA (guanine(37)-N(1))-methyltransferase.,Q74NE4 Q9V2G1 Q93YU6 B7FTW3 Q4CNL4 F6H2F8 Q6NQ64 B7G5J1 Q4DPN8 F6HH45 Q58293 Q9V0Q0 Q16VC0 C0NUP2 E3WPP8 Q7Q5Z3 Q4WX30 F4NUJ6 Q3MHN8 A8WHT1 Q59TN1 C4YH95 F7A355 A8N339 Q5KBP2 B8A5G9 Q54WD6 Q8IRE4 B5DPF1 C8VJ35 Q8SVV3 C4M572 A8B4Q0 Q32P41 A4H8F7 A4HWT0 Q4QEY9 Q95KJ2 F7GSQ4 Q9D0C4 C7YK87 F5HAU9 A0CC46 E0VLV0 Q0UVC3 D0NLC2 A9T6G5 C0H537 B3L2G0 A5K6L0 D3BT31 E3KWE1 Q8TFG7 C5XX79 B8BQY5 Q4UB74 Q4MYY2 A2E5K9 D5GN29 Q4PHW2 F6VSS6 Q6CA67 P38793 B0CAM2 A9NHF7 A1TND2 Q43963 B7GVS0 B7IAT0 B2HZV3 B0VQ58 A3M9G5 B0V8J1 A0LV70 A3N386 B3GZ40 B0BSW0 A6VLP6 A0KG25 A4SIV9 Q8UBZ7 Q0VRF0 B6EGC1 A6TRS6 A8MHC4 B8J893 Q2IJ54 A7HBQ1 B9KH73 Q5P9F9 Q2GIL5 B4UBD2 Q3MC52 B7GGD9 O67463 Q5NXM5 A0JXT9 Q2NJG9 B6YQ31 C3P5P2 C3L786 A0RHL4 Q81JG7 B7JJS7 Q732M9 B7IUK0 C1EP65 B7HDW4 B7HLH4 B9IVD0 Q812X2 Q636I5 Q5LCI1 Q64TM8 Q9KA15 Q6HEX4 Q65JP6 A8FD67 Q5WFN6 O31741 Q8A9C2 A6L5G9 A7Z4M3 A9VT79 A1UR21 Q6G1R9 Q6FYH4 A9IZA2 Q1LTR1 Q6ML97 B8DVQ3 A0ZZV4 B3DTR2 Q8CY56 B7GMW8 Q7U345 Q493M1 Q2KY83 Q660H3 Q7U384 O51641 B5RMP3 B2S140 Q7U374 Q7U361 B5RQ39 A1R0C2 Q89X36 C0ZFN1 B2S868 Q2YLT1 Q57AY4 A9M8Q0 C0RFF8 Q8YJD7 A5VSP1 B0CIR8 Q8CY35 P57476 Q8K9F4 P59518 B1YV59 Q1BY02 B1JXU5 A0K5P7 B4EAN4 Q0BH67 Q39ID4 A9ADS9 A3MHR9 A2S4N8 Q62M52 A1V6J2 A3NXU1 Q3JQ08 A3NC05 Q63S32 Q2SXZ9 A4JCJ9 Q8R5S2 A4XLF1 A7GZB1 A0RPR6 A7I0V7 A8FLE2 A7H4B2 Q9PPJ4 A1VZ68 Q5HV68 Q3AC72 Q9ABM9 Q11CR0 A9WDJ3 Q5L5L8 B8G9R8 Q3ASF7 Q820E4 Q255B1 Q3B4A1 Q9PL12 Q9Z964 B9LI79 B0B9D4 B3QXJ6 Q3KMZ5 B0BB13 Q8KD90 O84030 Q1QT50 Q7MBD6 A5CQR1 B0REN1 Q97I94 A7FW09 C3L0E3 A6LSN1 B2V4E5 B2TJ31 A5I4M3 C1FSL5 B1II76 A7GG33 B1KWN5 B8I7T5 B9E1H7 A5N816 A0Q0Y0 Q0TPP4 Q8XJP7 Q0SSB1 Q895M2 Q47WV0 B5Y8F3 C3PH72 Q6NGI5 Q8CY26 Q8NNX7 Q4JV03 B6J8J0 B6J1N4 A9KEE9 A9NBQ9 Q820X1 A7MEG4 Q1LQE0 Q0KD79 Q46Y84 B3R398 Q6A7S7 B1WPL5 B8HMF0 B7KHC2 Q11YV4 Q47BI7 Q3Z9L3 A5FSB5 Q3ZZA6 C1CUT8 Q1IYA3 Q9RSW0 B8FNP3 Q313J9 B1I2N1 Q24UA9 Q6AJE8 A4J665 Q72DU3 B5YFD5 B8E2G4 A7ZQ47 B7UH56 B7MIU5 B7LDJ6 P0A875 B5Z226 B7NSA6 B7MYA0 B7M976 C4ZYM5 B1XBS9 A8A3B4 Q0TEN2 P0A874 B1IVM6 P0A873 B7N6J3 B6I629 B1LPB4 Q1R8B8 C5BGG0 Q3YQP3 Q2GI95 Q5FGP5 Q5H9Z7 A4WDH2 Q820U3 B7LUW6 C4Z429 B1YIM4 C4L603 A7HKS1 B0S047 A5FHV7 A6H0R6 Q0RDP4 Q2J6Z9 B0TX18 A8L5A5 Q14JS7 A7NEB1 Q2A1N5 B2SFE4 A0Q859 Q5NIC4 A4IWA7 Q8R5Y4 B5EBC9 B9M594 Q5L0P4 Q39RN8 Q74FG3 C6E5I8 A5G7Z5 Q7MBC8 A9HS61 Q5FUG1 A0LZ03 Q7U331 Q4QNY8 A5UAV3 A5UG04 P43912 B8F7X3 Q0I1J8 Q2SL56 A1WUF3 B8CW21 Q7U321 B0TH67 Q9ZK66 B2UUQ7 O25766 A9B3P8 A4G2T7 B0UVM8 Q31HX8 Q5QUV0 A6SVI6 Q28UF1 A6W7V0 B5XVK5 A6TCL5 B2GFY4 Q1IMM4 Q5FJK7 Q03RU7 B3WEU0 Q1G9L4 Q049R8 B2GD25 A8YVT2 Q74IQ6 Q9CFB7 Q038K0 A9KLM2 Q88WJ2 A5VKN4 B2G818 Q1WU92 Q38XQ7 C1DBG0 Q5X7Z1 Q5ZYH6 Q5WZE2 Q6AEA3 Q04SW4 Q050Y8 B1Y0H7 Q72S28 Q8CXS8 B1MZT4 Q03W52 Q92AL6 C1KW91 Q71YM4 B8DDW1 Q8Y6A3 A0AJP7 B9EBB9 A0L4Y8 Q2VZV6 Q65VG1 A6W1U0 Q6F0S5 Q60BS1 Q1GYT8 B3DVH5 A2SES8 B0JJC4 C5CAH0 Q2RJV4 B3PMA2 A5IZ67 P66969 A1KMQ0 C1AG21 Q2SRU7 Q9RDV3 P47683 Q601V6 Q4A880 Q4AA53 O33017 Q6KHL5 Q6MTI1 Q73VN9 Q8CXQ6 P75132 Q98Q98 Q4A738 A5U6R1 P9WFY6 P9WFY7 Q1D6I2 B2A2P2 Q5FA59 B4RIW3 A9M2D1 Q9JVL0 Q9K0K4 A1KSJ9 Q2GCN4 Q820K4 Q1QHI7 Q2YBJ2 Q3J8Y0 A6Q549 Q3SNV6 Q5YS38 B2JA48 Q8YQF1 Q2G8H2 Q8CXH3 Q04FP5 Q6YQA4 A1R7G3 B2JF31 B2T605 Q6MDG9 Q13VF0 Q9CLE1 Q6D1U0 C6DCP9 Q03FW3 Q3A2E7 A5D1J4 Q4FP13 Q18BC2 C0QQJ9 Q7MB64 Q6LMV9 B1VAA9 B3R0P2 A4SW75 B1XVN1 Q12CW4 B2RMA5 Q7MAV4 A8G690 Q319K9 B4EUW6 Q48LV8 Q15VI7 A6V125 B7UYK8 Q02RL6 Q9HXQ1 B8HA94 Q1I5Z0 Q4KHQ6 C3K1G9 Q3IEC7 A5W8C1 Q3KHJ2 B0KRI3 Q88MV4 B1JDE3 Q886V0 Q4ZWY7 A4VIT7 Q4FQ44 Q1Q8A6 A1SZY6 A5WBX0 Q8Y0V8 A9WP47 Q2K380 Q1MAK3 Q98EE1 Q92L41 Q7TTY8 Q21YL6 Q0S2C5 Q2J399 Q6ND67 Q21CT7 B3Q854 Q2RV57 Q3IZ05 B9KNX7 C3PME7 A8GM73 Q1RH66 Q92JB6 Q4UNA8 Q9ZE37 C4K1C8 B0BW78 A8GQT2 Q68XX9 Q16AP1 Q5LNE6 Q1GDC3 Q21LG2 A4FME8 B5F287 A8M680 Q57L31 B5FS07 B5QUG2 B5RD83 B4TE51 B4T2B3 Q5PFF8 C0PW17 B5BE92 Q2S234 B4TS54 Q8Z4I5 A4X4H8 P36245 P36244 A8GA20 A1S3Z2 B8EBP1 A3D1W7 A6WKR8 A9L5P7 Q12KJ5 Q07Z07 B0TJ77 A3QBT8 Q8CX44 A8H1E1 A4Y4L5 B8CQI2 A0KZM1 A8FSE9 Q0HGB0 Q0HSK3 A1RMB6 B1KI70 B2TYM9 Q31XD8 Q32CY1 Q0T175 P0A876 Q3YYN1 Q2NVK2 A9F3N2 Q1GPJ7 A5V9Q2 Q6XYU1 A7X1L0 A6U159 Q2FHJ8 Q2FZ43 A5ISC5 Q2YXM5 Q5HGJ2 A6QGE0 P66970 P66971 Q6GHJ5 Q6G9X3 Q8NX06 B9DPK1 Q5HPV1 Q8CQL4 Q4L5U2 Q49X26 Q3K0F8 Q8E4H7 Q8CX07 Q82JW3 P0A4P1 C0M748 B4U395 A8AXT6 P0A4P2 B4SPH3 B2FUB5 Q8DUN6 Q9A0B6 Q04LC5 P0DG20 B5E3G1 Q5XCQ3 C1C6C0 Q8P1F3 Q1JMB3 Q1JHF6 Q1J777 A2RF48 B1IAV3 B8ZND2 Q48U55 Q97RM4 P0DG21 B2INF6 Q8CWS4 A4W0T9 C0MEI3 A3CNE6 A4VUJ7 Q5LYY2 Q5M3J5 Q03JS1 B9DRW6 C1CDC7 C1CJM5 C1CSA6 Q30TE6 A6Q772 B2V6N2 Q67PD8 Q2LVU2 Q31L04 Q2JTR0 Q2JM55 Q5N0W7 A5GMI5 A5GUS1 Q0IC33 Q0AWV7 P72828 B7IEQ5 Q8CWM2 Q47S64 A6LNY6 Q9X1Q5 A5IM14 B9KXN9 B1LB78 Q72JU8 Q5SJH6 B5YK96 Q3SGC2 C4LD25 Q73PB5 O83878 Q113W0 Q820Z0 Q820Y0 B1GZ20 B1AJK8 Q9PPS2 B5ZC78 A5F9A9 A7MYV2 Q9KUF8 C3LS53 Q5E7F0 B5FAE7 Q87LT0 B7VK27 Q8CWK5 Q7M7J0 Q73GD5 B3CM65 Q7MA04 Q5GT55 C0R443 Q8PMY1 Q3BVY8 Q4US84 B0RXD7 Q8PBC1 Q2P651 B2SJV1 Q5H390 B2I6A8 Q9PH37 Q87F54 A1JK25 A7FLQ5 Q1C409 B2K5Z0 Q8ZBU9 A9R0U3 Q1CLJ3 A4TQ64 Q66E57 B1JJ89 Q5NNK8,FALSE,2.1.1
2.1.1.229,tRNA (carboxymethyluridine(34)-5-O)-methyltransferase.,A1A4L5 Q96BT7 Q95K79 Q80Y20 Q07G10 Q94A09 Q10224 P49957,FALSE,2.1.1
2.1.1.23,Transferred entry: 2.1.1.319 2.1.1.320 2.1.1.321 2.1.1.322,Q9MAT5 A2Y953 Q9SNQ2 Q9SU94 Q84W92 A3KPF2 Q8GWT4 Q8AV13 Q6VRB0 Q9U2X0 Q54EF2 Q99873 Q9JIF0 Q63009 Q28F07 Q54HI0 P55345 Q9R144 D9IVE5 B3DLB3 Q5E9L5 Q6NWG4 Q96LA8 Q6NZB1 Q68EZ3 B0JYW5 Q174R2 Q7Q2B7 B0W3L6 Q6DC04 B3M1E1 B3P4N5 B4JXV2 Q9VH48 B4KA23 B4GZ20 Q29B63 B4HJC0 B4QVW6 B4LVS8 B4NKI9 B4PVH6 Q86X55 Q9WVG6 A2YPT7 Q7XI75 Q4AE70 Q5XK84 A7YW45 P46580 Q54KI3 O14744 Q4R5M3 Q8CIG8 A2X0Q3 Q6YXZ7 Q5R698 Q6NUA1 Q6P2P2 Q3U3W5 A0JMU5 P38274 Q2KHV5 Q09644 Q08BY0 Q54S83 Q9VGR2 Q7L592 Q9CWG8 Q5XI79 O14138 Q6GQ37 Q5BKM6 P36052 A6QQV6 Q5ZIB9 Q99MI9 A2AV36 Q9NVM4 Q922X9 Q5U4E8 Q6PCI6 ,TRUE,2.1.1
2.1.1.230,23S rRNA (adenosine(1067)-2'-O)-methyltransferase.,P52391 P18644 P52393,FALSE,2.1.1
2.1.1.233,[Phosphatase 2A protein]-leucine-carboxy methyltransferase.,Q8VY08 Q759U5 Q4WS57 Q3T0H0 Q60YU0 P46554 Q5A387 Q6FUI5 P0CO57 P0CO56 Q6BQD2 Q5AQJ2 Q4ICG8 Q9UIC8 Q6CWW0 Q7SAP7 Q6P4Z6 O94257 Q4P4G2 Q6C997 Q04081,FALSE,2.1.1
